 Created on  1Dec2019 at 16:53:37 
     4     4     4
    64    20
   25.000000
   -0.397550    0.791131    0.464829
   -0.690217   -0.601209    0.402676
   -0.904666   -0.349287    0.244085
   -0.481370   -0.109803    0.869613
   -0.517756   -0.014772    0.855401
   -0.519367    0.060206    0.852428
   -0.701903   -0.706093    0.093624
   -0.549922   -0.696879    0.460374
   -0.497856   -0.865931    0.047981
   -0.677082   -0.684438    0.270379
   -0.736061   -0.580093    0.348864
   -0.541781   -0.756846    0.365592
   -0.218206   -0.792571    0.569401
   -0.142830   -0.930499    0.337300
   -0.629410   -0.520100    0.577355
    0.641014   -0.568037    0.516173
   -0.170650   -0.751724    0.637016
   -0.683218   -0.509736    0.522860
   -0.734503   -0.636878    0.234290
   -0.076373   -0.828084    0.555378
   -0.042216   -0.837390    0.544973
   -0.564514   -0.819968    0.094747
   -0.580296   -0.814387    0.005558
   -0.279249   -0.947911   -0.153245
   -0.112753   -0.901335    0.418188
   -0.883537   -0.416534    0.214151
   -0.708896   -0.589976   -0.386516
   -0.214236   -0.948245   -0.234381
   -0.346589   -0.834942    0.427490
   -0.124328   -0.771624    0.623810
   -0.312002   -0.949095   -0.043286
   -0.349552   -0.577812   -0.737527
   -0.033204   -0.777547   -0.627947
   -0.490142   -0.676282   -0.549912
    0.047096   -0.905225   -0.422315
   -0.188391   -0.911246   -0.366251
   -0.520666   -0.850433    0.075307
   -0.865419   -0.468930    0.176509
   -0.664863   -0.716287    0.211872
    0.200245   -0.907413    0.369464
   -0.554735   -0.664644    0.500517
   -0.832867   -0.480561    0.274579
   -0.662330   -0.582987   -0.470579
    0.153186   -0.893949    0.421176
    0.075301   -0.942806   -0.324727
   -0.695445   -0.475975    0.538334
   -0.324842   -0.940186   -0.102605
    0.023408   -0.996290   -0.082818
   -0.009137   -0.794059    0.607772
    0.163559   -0.923078    0.348101
   -0.462595   -0.820707   -0.335331
   -0.620667   -0.701299   -0.350647
   -0.678743   -0.602162    0.420367
   -0.575494   -0.316335    0.754148
   -0.437034   -0.709734   -0.552520
   -0.050510   -0.966587    0.251314
   -0.596767   -0.733284   -0.325828
   -0.725967   -0.512686    0.458394
   -0.998140    0.034486    0.050271
   -0.859194   -0.490370    0.146023
   -0.803379   -0.474297    0.360034
   -0.606029   -0.530121    0.593044
   -0.500869   -0.216747    0.837945
   -0.493992   -0.617705    0.611892
   27.631579
   -0.165778   -0.603225   -0.780152
    0.088231   -0.988915   -0.119423
    0.328013   -0.380817   -0.864515
    0.775739    0.046983   -0.629302
    0.701251   -0.698832   -0.140998
    0.835997   -0.257183   -0.484732
    0.565679   -0.327315   -0.756883
    0.418448   -0.700594   -0.577987
    0.262060   -0.821869   -0.505822
    0.812346   -0.388002   -0.435372
    0.484851   -0.642118   -0.593805
    0.612228   -0.434374   -0.660679
    0.461727   -0.267394   -0.845759
    0.321915   -0.351123   -0.879252
    0.491604   -0.140269   -0.859448
    0.547437   -0.539880   -0.639409
    0.058237   -0.531466   -0.845075
    0.527505   -0.532117   -0.662261
    0.692247   -0.718459   -0.067906
    0.918286   -0.298631   -0.259943
    0.251756   -0.223901   -0.941535
    0.490435   -0.660352   -0.568691
    0.974810    0.181598   -0.129493
    0.857819    0.244987   -0.451805
   -0.116323   -0.897030   -0.426388
    0.305997   -0.941860   -0.138802
    0.017402    0.031621   -0.999348
    0.699896   -0.713767    0.026126
    0.023432   -0.751657   -0.659137
    0.600212   -0.710103   -0.368101
   -0.323810   -0.894171   -0.309202
    0.622264   -0.762755   -0.176047
   -0.115293   -0.750213   -0.651067
    0.588736   -0.710448   -0.385555
    0.723952   -0.484001   -0.491566
    0.765022   -0.422022   -0.486456
    0.066687   -0.627025   -0.776140
    0.083694   -0.914272    0.396361
    0.834533   -0.465136   -0.295301
    0.339101   -0.175503   -0.924235
    0.017551   -0.921829   -0.387199
    0.367628   -0.803883   -0.467571
    0.717781   -0.609851   -0.335965
    0.219666    0.123289   -0.967753
    0.510067   -0.794267   -0.330109
   -0.047204   -0.661040   -0.748865
    0.344860   -0.797082   -0.495713
    0.594777   -0.485309   -0.640871
    0.462583   -0.371819   -0.804840
    0.078139   -0.961889   -0.262037
    0.349208    0.173851   -0.920777
    0.520561   -0.154342   -0.839759
    0.287742   -0.188199   -0.939035
    0.652545   -0.071912   -0.754330
    0.177509   -0.973620    0.143371
    0.115536   -0.829254   -0.546798
   -0.249901   -0.228638   -0.940890
    0.918689   -0.328348   -0.219539
    0.696059   -0.681125    0.227092
    0.334067   -0.699259   -0.632010
    0.771307   -0.130539   -0.622933
    0.378912   -0.777359   -0.502134
    0.685567   -0.455217   -0.568134
    0.480485   -0.014886   -0.876877
   30.263158
   -0.886581   -0.376742    0.268402
   -0.981385    0.165265    0.097827
   -0.218273   -0.961200   -0.168675
   -0.456892   -0.830915   -0.317536
   -0.788564   -0.337287   -0.514203
   -0.492568   -0.543605   -0.679611
    0.209459   -0.782538   -0.586312
   -0.604982   -0.795345    0.037724
   -0.645972   -0.589860   -0.484546
   -0.698631   -0.665145   -0.263621
   -0.910541   -0.270753   -0.312424
   -0.871700   -0.450550   -0.192725
   -0.815506   -0.380981    0.435664
   -0.285968   -0.957990    0.021868
   -0.653856    0.040059    0.755558
   -0.743085   -0.597038    0.302275
   -0.401864   -0.358219   -0.842725
   -0.720392    0.159855   -0.674894
   -0.344449    0.164582   -0.924266
   -0.117563   -0.145020   -0.982420
   -0.390669   -0.464085   -0.794986
   -0.181825   -0.585023   -0.790372
    0.213156   -0.678162   -0.703321
   -0.462630   -0.349830   -0.814612
   -0.710655   -0.388488   -0.586555
   -0.654744   -0.581261   -0.483163
    0.066445   -0.732169   -0.677874
   -0.513215   -0.358451   -0.779823
   -0.714433   -0.290318   -0.636633
   -0.990902   -0.034702   -0.130034
   -0.997802    0.038061   -0.054241
   -0.712391    0.155745   -0.684282
   -0.839092    0.216039   -0.499252
   -0.507904    0.586031   -0.631348
   -0.384336    0.918786    0.090100
   -0.897468   -0.095108   -0.430705
   -0.710664   -0.504093   -0.490762
    0.047196   -0.967798   -0.247263
   -0.735454   -0.579297   -0.351457
   -0.765664   -0.606868    0.213237
   -0.836667   -0.356520    0.415790
   -0.763289   -0.581277   -0.281969
   -0.835364   -0.302285    0.459119
   -0.557107   -0.670901   -0.489411
   -0.715560   -0.682964    0.146747
   -0.428700   -0.182279   -0.884868
   -0.961510    0.143464    0.234342
   -0.992949   -0.091845   -0.074943
   -0.762029   -0.574216    0.299312
   -0.845171   -0.476643    0.241862
   -0.723454   -0.048942   -0.688636
   -0.927785    0.369481   -0.051948
   -0.746722   -0.102153   -0.657245
   -0.865516   -0.499218    0.040793
   -0.663710   -0.497273   -0.558756
   -0.977148   -0.211287   -0.023251
   -0.745539   -0.651633   -0.139808
   -0.824979   -0.559722   -0.078238
   -0.984740    0.164334   -0.057277
   -0.746533   -0.658553    0.094850
   -0.748234   -0.611037   -0.258419
   -0.953433   -0.281518   -0.108228
   -0.971387   -0.197891    0.131328
   -0.927232   -0.347394    0.139852
   32.894737
    0.277593    0.957880   -0.073541
   -0.113069    0.971383    0.208879
    0.239013    0.744232   -0.623691
    0.296119    0.662789   -0.687768
    0.671799    0.456658   -0.583224
    0.292082    0.955892   -0.030976
    0.025582    0.350942   -0.936048
    0.064985    0.748344   -0.660120
    0.489205    0.433299   -0.756922
    0.393903   -0.178309   -0.901691
    0.241030    0.559142   -0.793262
    0.482978    0.160409   -0.860815
    0.350933    0.936380    0.006235
   -0.524484    0.788973   -0.320059
    0.606620    0.794783   -0.018257
    0.305642    0.951258   -0.041116
    0.247157    0.231943   -0.940806
    0.476969   -0.074230   -0.875780
    0.687191    0.505167   -0.522086
    0.213639   -0.091021   -0.972663
    0.257649    0.608129   -0.750864
    0.691289    0.565915   -0.449287
    0.318371    0.802752   -0.504212
   -0.144733    0.718204   -0.680614
    0.663407    0.174258   -0.727685
   -0.144646    0.851706   -0.503661
    0.764842    0.465663   -0.445168
    0.256283    0.046412   -0.965487
    0.223282    0.377920   -0.898511
   -0.282140    0.959373    0.000579
    0.984506   -0.002983   -0.175324
   -0.063195    0.889911   -0.451734
   -0.662060    0.503124   -0.555466
    0.654832    0.342406   -0.673761
    0.476551    0.219248   -0.851369
   -0.490275    0.104560   -0.865273
    0.077060    0.027266   -0.996654
    0.546663    0.814166   -0.195688
    0.525592    0.827763   -0.196371
   -0.150375    0.731384   -0.665180
    0.432897    0.573967   -0.695099
   -0.030518    0.399757   -0.916113
    0.717363    0.058647   -0.694226
    0.817357    0.469074   -0.334509
    0.351799    0.415400   -0.838856
    0.245799    0.873290   -0.420650
    0.544978    0.281005   -0.789959
