 Created on  8Aug2021 at 03:35:01 
    14    14    14
  2744    32
   36.000000
    0.991935    0.106209   -0.069171
    0.013889    0.981622   -0.190328
    0.104620   -0.974061   -0.200647
    0.278107    0.921058    0.272596
    0.858961    0.014406   -0.511838
    0.303660   -0.117620   -0.945493
    0.830214    0.296163    0.472262
    0.524892    0.826598   -0.203037
    0.861064   -0.506772    0.041857
    0.956288    0.175047    0.234249
    0.739433   -0.484356   -0.467587
    0.914854    0.390106   -0.104206
   -0.145800    0.117684    0.982290
    0.882956    0.443966   -0.152585
   -0.883823   -0.076535   -0.461518
   -0.069931   -0.900868    0.428424
   -0.057296    0.822231    0.566263
   -0.918781   -0.384225    0.090628
   -0.942660   -0.194915   -0.270924
   -0.640575    0.447606    0.623949
   -0.803340   -0.594472   -0.035325
   -0.976711   -0.180216    0.116434
   -0.870813   -0.324686   -0.369140
   -0.754459    0.574956    0.316572
   -0.760266   -0.086984   -0.643762
   -0.344314    0.742952    0.573996
   -0.725506   -0.480784   -0.492430
   -0.589016    0.805103   -0.069784
    0.382962    0.286422    0.878238
   -0.408139    0.789293   -0.458737
    0.621578   -0.634675   -0.459160
    0.872272    0.034820   -0.487779
    0.813354    0.531782   -0.235932
    0.722217   -0.452945   -0.522727
    0.397795    0.381673   -0.834317
    0.095289    0.980097    0.174156
    0.754424   -0.625847    0.197888
    0.929616    0.327661    0.168679
    0.233175   -0.972397    0.008545
    0.433204    0.685702    0.584934
    0.810366   -0.517955   -0.273915
    0.957165   -0.202739   -0.206719
   -0.858644   -0.272985   -0.433832
   -0.673511    0.057034    0.736974
   -0.148057    0.527414    0.836609
   -0.967457    0.047684    0.248502
   -0.982666    0.171432    0.070557
   -0.430249    0.483583    0.762255
   -0.726386   -0.449432    0.519975
   -0.484722   -0.740103    0.466146
   -0.795586    0.119731   -0.593891
   -0.297435   -0.594932    0.746719
   -0.092687    0.875216   -0.474770
   -0.909984    0.044713    0.412225
   -0.947930    0.317635   -0.023176
   -0.995629    0.004999    0.093258
    0.969959    0.105975   -0.218971
    0.615247    0.783910   -0.083407
    0.336210    0.278225   -0.899752
    0.597646    0.187306   -0.779574
    0.973926   -0.015561    0.226333
   -0.181414   -0.405729   -0.895809
    0.999314    0.034460   -0.013589
    0.046599    0.856256   -0.514445
    0.927444    0.362349   -0.092474
    0.105103   -0.076097   -0.991546
    0.585691   -0.616062    0.526719
    0.981817   -0.187124    0.031933
    0.686929    0.224673    0.691122
    0.802269    0.134337    0.581651
   -0.723815   -0.417318   -0.549489
   -0.476046   -0.130393    0.869700
   -0.960970   -0.150684   -0.232017
   -0.118326   -0.641598    0.757859
   -0.852585    0.051276   -0.520067
    0.077451    0.200608    0.976605
   -0.944634   -0.135830    0.298691
   -0.497550    0.032375    0.866831
   -0.696711   -0.536817   -0.475837
   -0.276426   -0.105794    0.955194
   -0.213076    0.249958   -0.944521
   -0.915874    0.326538   -0.233556
   -0.894626   -0.351062   -0.276405
   -0.939128   -0.053812   -0.339327
    0.952665    0.301445   -0.039494
    0.353134    0.915626   -0.192159
    0.644791    0.154370   -0.748608
    0.878830    0.467575    0.095031
    0.679591   -0.178784   -0.711472
    0.089387    0.062749    0.994018
    0.105608    0.529395   -0.841777
    0.945731   -0.026171   -0.323896
    0.589102    0.670713    0.450670
    0.123565   -0.240488   -0.962755
    0.529037    0.592608    0.607400
    0.993902   -0.092954   -0.059321
    0.607357    0.736794    0.297073
    0.841939    0.198802   -0.501613
   -0.825295    0.384760   -0.413338
   -0.302580   -0.898144    0.319034
   -0.311232   -0.247311    0.917590
   -0.796116    0.208165   -0.568213
    0.514537    0.803693    0.298879
    0.044526   -0.849886   -0.525082
   -0.540967    0.444785    0.713807
   -0.582962   -0.794107    0.171896
   -0.583897   -0.788857    0.191753
    0.425802   -0.308736    0.850515
   -0.780211   -0.364053    0.508662
   -0.567843   -0.291100   -0.769945
   -0.477400   -0.860942   -0.175694
   -0.522765   -0.737297    0.427913
    0.881436    0.039633    0.470638
    0.516378    0.712867   -0.474524
    0.370937    0.460223   -0.806598
    0.522638   -0.852517   -0.008035
    0.433102   -0.822416   -0.368856
    0.201211   -0.279450   -0.938841
    0.575551    0.401772    0.712264
   -0.012961    0.225432   -0.974173
    0.858738    0.508108    0.066297
   -0.690479   -0.007995   -0.723308
    0.935985   -0.188746    0.297164
    0.340272    0.106007    0.934333
    0.667368    0.684153   -0.294202
    0.873807   -0.192844   -0.446399
   -0.482519   -0.873988   -0.057622
   -0.715327   -0.371908   -0.591601
   -0.640978   -0.264639    0.720495
   -0.678233   -0.185972    0.710925
   -0.574141    0.375738    0.727449
   -0.665581    0.263433    0.698287
   -0.683439   -0.543386   -0.487486
    0.412908   -0.459573    0.786320
   -0.846170    0.464890    0.260528
   -0.038838   -0.919247    0.391762
   -0.880943    0.447996    0.152446
   -0.775961   -0.588022   -0.228286
   -0.523566   -0.785829   -0.329167
   -0.987246    0.159163   -0.003601
    0.830648    0.555320    0.040539
    0.381723    0.817934    0.430432
    0.833454   -0.527920   -0.163264
   -0.136068    0.484781   -0.863987
    0.706820   -0.696959    0.121051
    0.777667    0.504203   -0.375518
    0.893242    0.413350    0.176806
    0.627228    0.440621   -0.642214
    0.614484   -0.266998   -0.742375
    0.761505    0.519797    0.387196
    0.689149   -0.714940    0.118046
    0.748205    0.366462    0.553078
   -0.200482    0.953832    0.223633
    0.994113   -0.095656    0.050877
   -0.815399    0.206165    0.540943
   -0.390190   -0.814277   -0.429772
   -0.767660    0.327170    0.551052
   -0.765748   -0.566580    0.304332
   -0.383342    0.821744    0.421646
   -0.733220   -0.131908    0.667075
   -0.742949    0.551985    0.378602
   -0.724859   -0.423320    0.543488
   -0.878933   -0.455720    0.140697
   -0.971575   -0.023945    0.235517
   -0.803079   -0.583646    0.120089
   -0.935221    0.061480    0.348687
   -0.506414   -0.745521    0.433293
   -0.758164   -0.645653   -0.091212
    0.894230    0.372331   -0.248439
    0.917733    0.397190   -0.002473
    0.665670   -0.085918   -0.741284
    0.726000   -0.482192    0.490320
    0.513612    0.390495   -0.764013
    0.471283   -0.858711    0.201265
    0.684320    0.344048   -0.642913
    0.935076   -0.216301    0.280798
   -0.107529    0.879950   -0.462736
    0.727628   -0.183793   -0.660892
    0.915527    0.146337   -0.374694
    0.822046   -0.457999    0.338345
    0.516367    0.525846   -0.675908
    0.978647   -0.002291   -0.205533
   -0.488879   -0.871643    0.035163
   -0.271675   -0.378678   -0.884758
   -0.703942    0.542113    0.458888
   -0.766100   -0.233955    0.598629
   -0.048844   -0.172585    0.983783
   -0.517651    0.659167    0.545468
   -0.526293   -0.771984    0.356450
   -0.581362   -0.779946    0.231737
   -0.730719   -0.329315    0.597998
   -0.789000   -0.008887   -0.614329
   -0.295207    0.955298   -0.016066
   -0.729630    0.199946   -0.653958
   -0.799059   -0.534378   -0.275580
   -0.935020    0.172297   -0.309920
   -0.832915   -0.551492   -0.045925
   -0.489223    0.582470    0.649146
    0.069358    0.942626    0.326565
   -0.715907   -0.680370   -0.156761
   -0.618219    0.676854    0.399593
   -0.949319   -0.310509   -0.048768
   -0.151835    0.511459    0.845787
   -0.994853   -0.094102    0.037571
   -0.626034   -0.670439    0.398237
   -0.807881    0.412458   -0.420959
   -0.786894    0.611914    0.079744
