 #written on  1Dec2019 at 16:58:59 
 #---------------------------------------------------- MONTECARLO ----------------------------------------------------#
 #  Temp    Shell   Atom1   Type1   Atom2   Type2   <\sum_{ij} Si.Sj/N>   <\sum_{ij}|Si.Sj|/N>   <|\sum_{ij}Si.Sj|/N> #
 #--------------------------------------------------------------------------------------------------------------------#
   4.0000     1      Ni       1      Ni       1        -0.000221311           0.930023302             0.001102884
   4.0000     2      Ni       1      Ni       1        -0.000123285           0.937826944             0.000692298
   4.0000     3      Ni       1      Ni       1        -0.966219671           0.966219671             0.966219671
   4.0000     4      Ni       1      Ni       1        -0.965857682           0.965857682             0.965857682
   5.6170     1      Ni       1      Ni       1        -0.000309703           0.896943248             0.001546353
   5.6170     2      Ni       1      Ni       1        -0.000183297           0.908739254             0.000973677
   5.6170     3      Ni       1      Ni       1        -0.952214959           0.952214959             0.952214959
   5.6170     4      Ni       1      Ni       1        -0.951552947           0.951552947             0.951552947
   7.2340     1      Ni       1      Ni       1        -0.000375731           0.862607414             0.001961006
   7.2340     2      Ni       1      Ni       1        -0.000226082           0.877737036             0.001237844
   7.2340     3      Ni       1      Ni       1        -0.938256231           0.938256231             0.938256231
   7.2340     4      Ni       1      Ni       1        -0.937285071           0.937285071             0.937285071
   8.8511     1      Ni       1      Ni       1        -0.000470801           0.823038829             0.002376098
   8.8511     2      Ni       1      Ni       1        -0.000248205           0.843390369             0.001510889
   8.8511     3      Ni       1      Ni       1        -0.923946800           0.923946863             0.923946800
   8.8511     4      Ni       1      Ni       1        -0.922745813           0.922745907             0.922745813
  10.4681     1      Ni       1      Ni       1        -0.000546514           0.778636458             0.002792354
  10.4681     2      Ni       1      Ni       1        -0.000303527           0.807844349             0.001780404
  10.4681     3      Ni       1      Ni       1        -0.909428763           0.909429502             0.909428763
  10.4681     4      Ni       1      Ni       1        -0.907976533           0.907977418             0.907976533
  12.0851     1      Ni       1      Ni       1        -0.000580719           0.725283160             0.003175484
  12.0851     2      Ni       1      Ni       1        -0.000346493           0.761289440             0.002014835
  12.0851     3      Ni       1      Ni       1        -0.894448421           0.894453203             0.894448421
  12.0851     4      Ni       1      Ni       1        -0.892791630           0.892797107             0.892791630
  13.7021     1      Ni       1      Ni       1        -0.000680214           0.672092008             0.003567814
  13.7021     2      Ni       1      Ni       1        -0.000396424           0.714469173             0.002270340
  13.7021     3      Ni       1      Ni       1        -0.879437713           0.879458138             0.879437713
  13.7021     4      Ni       1      Ni       1        -0.877568175           0.877592009             0.877568175
  15.3191     1      Ni       1      Ni       1        -0.000714746           0.623697567             0.003914069
  15.3191     2      Ni       1      Ni       1        -0.000444818           0.667661165             0.002515305
  15.3191     3      Ni       1      Ni       1        -0.864207680           0.864270902             0.864207680
  15.3191     4      Ni       1      Ni       1        -0.861968525           0.862043086             0.861968525
  16.9362     1      Ni       1      Ni       1        -0.000821961           0.577343509             0.004277241
  16.9362     2      Ni       1      Ni       1        -0.000496445           0.626904619             0.002765553
  16.9362     3      Ni       1      Ni       1        -0.848679676           0.848844708             0.848679676
  16.9362     4      Ni       1      Ni       1        -0.846132515           0.846327641             0.846132515
  18.5532     1      Ni       1      Ni       1        -0.000866122           0.564048814             0.004673985
  18.5532     2      Ni       1      Ni       1        -0.000514516           0.608454096             0.003004750
  18.5532     3      Ni       1      Ni       1        -0.833343753           0.833708731             0.833343753
  18.5532     4      Ni       1      Ni       1        -0.830584266           0.831007670             0.830584266
  20.1702     1      Ni       1      Ni       1        -0.000933539           0.533045085             0.005050820
  20.1702     2      Ni       1      Ni       1        -0.000584112           0.579852067             0.003277217
  20.1702     3      Ni       1      Ni       1        -0.817156478           0.817877645             0.817156478
  20.1702     4      Ni       1      Ni       1        -0.814097985           0.814917938             0.814097985
  21.7872     1      Ni       1      Ni       1        -0.001034986           0.528137290             0.005506453
  21.7872     2      Ni       1      Ni       1        -0.000596688           0.567231035             0.003510971
  21.7872     3      Ni       1      Ni       1        -0.801458100           0.802720396             0.801458100
  21.7872     4      Ni       1      Ni       1        -0.798193615           0.799641962             0.798193615
  23.4043     1      Ni       1      Ni       1        -0.001109165           0.519712093             0.005893355
  23.4043     2      Ni       1      Ni       1        -0.000642872           0.555082615             0.003807327
  23.4043     3      Ni       1      Ni       1        -0.785442293           0.787554166             0.785442293
  23.4043     4      Ni       1      Ni       1        -0.781717084           0.784103629             0.781717084
  25.0213     1      Ni       1      Ni       1        -0.001172810           0.511842402             0.006320108
  25.0213     2      Ni       1      Ni       1        -0.000698713           0.541601914             0.004053239
  25.0213     3      Ni       1      Ni       1        -0.769298209           0.772568985             0.769298209
