 Created on  1Dec2019 at 17:05:41 
     4     4     4
   256    28
   10.000000
   -0.551170   -0.607792   -0.571665
    0.447633    0.775702   -0.444871
   -0.312793    0.647651    0.694772
    0.482298   -0.770741    0.416350
   -0.464296   -0.650067   -0.601534
    0.604790    0.595724   -0.528528
   -0.512655    0.585203    0.628269
    0.657980   -0.350092    0.666707
   -0.763683   -0.467760   -0.444960
    0.533721    0.097982   -0.839965
   -0.466901    0.768718    0.437123
    0.557982   -0.394511    0.730080
   -0.423047   -0.779329   -0.462254
    0.522363    0.796436   -0.304676
   -0.725716    0.381953    0.572231
    0.596077   -0.569896    0.565607
   -0.745311   -0.363657   -0.558808
    0.653636    0.675278   -0.341702
   -0.490457    0.556076    0.670993
    0.386868   -0.820426    0.420993
   -0.365834   -0.525277   -0.768277
    0.705291    0.611365   -0.358883
   -0.771726    0.138198    0.620757
    0.485488   -0.696754    0.528049
   -0.629751   -0.482871   -0.608481
    0.211776    0.809358   -0.547806
   -0.382820    0.188403    0.904408
    0.682259   -0.596643    0.422540
   -0.650562   -0.497087   -0.574172
    0.393853    0.615767   -0.682430
   -0.156148    0.612426    0.774953
    0.488254   -0.824667    0.285538
   -0.560100   -0.702522   -0.439033
    0.481139    0.573776   -0.662787
   -0.644642    0.548256    0.532777
    0.715715   -0.148018    0.682527
   -0.304892   -0.689330   -0.657164
    0.298341    0.887879   -0.350232
   -0.718178    0.398563    0.570410
    0.803464   -0.566487    0.183133
   -0.824785   -0.194085   -0.531094
    0.328592    0.496431   -0.803482
   -0.119033    0.399735    0.908869
    0.590690   -0.609968    0.528228
   -0.741337   -0.501519   -0.445981
    0.646943    0.643105   -0.409733
   -0.604501    0.462796    0.648382
    0.722484   -0.586960    0.365371
   -0.678142   -0.518641   -0.520707
    0.904509    0.317599   -0.284595
   -0.650168    0.597037    0.469923
    0.472001   -0.594149    0.651308
   -0.561669   -0.330491   -0.758488
    0.823649    0.468527   -0.319507
   -0.454184    0.537954    0.710157
    0.583173   -0.805081    0.108417
   -0.809593   -0.129105   -0.572618
    0.920710    0.246387   -0.302632
   -0.364367    0.721123    0.589252
    0.283271   -0.947881    0.145871
   -0.592077   -0.310290   -0.743751
    0.701988    0.704261   -0.105967
   -0.682119    0.601263    0.416169
    0.574121   -0.762375    0.298612
   -0.458692   -0.520577   -0.720140
    0.588341    0.515199   -0.623237
   -0.494358    0.625124    0.604012
    0.273269   -0.630208    0.726748
   -0.211840   -0.571995   -0.792430
    0.598677    0.794490   -0.101839
   -0.790772    0.452565    0.412147
    0.589015   -0.584858    0.557675
   -0.754692   -0.323553   -0.570748
    0.489210    0.262826   -0.831622
   -0.661547    0.197458    0.723441
    0.834614   -0.329939    0.441089
   -0.530810   -0.763308   -0.368240
    0.374065    0.575660   -0.727112
   -0.407057    0.505876    0.760522
    0.762066   -0.474685    0.440375
   -0.483074   -0.469166   -0.739271
    0.517983    0.555130   -0.650787
   -0.622574    0.264602    0.736470
    0.609017   -0.564736    0.556931
   -0.654610   -0.500540   -0.566521
    0.685058    0.358676   -0.634072
   -0.607595    0.549343    0.573630
    0.611252   -0.690596    0.386585
   -0.400177   -0.345499   -0.848816
    0.619501    0.474977   -0.624992
   -0.332610    0.504412    0.796831
    0.313911   -0.738801    0.596349
   -0.463832   -0.657451   -0.593817
    0.649284    0.430812   -0.626763
   -0.609545    0.683135    0.402221
    0.488217   -0.558362    0.670728
   -0.523516   -0.485519   -0.700144
    0.576640    0.760919   -0.297470
   -0.843829    0.263735    0.467329
    0.774541   -0.506133    0.379362
   -0.331171   -0.894470   -0.300416
    0.431395    0.711850   -0.554228
   -0.746286    0.520044    0.415466
    0.761712   -0.465962    0.450193
   -0.698175   -0.467277   -0.542406
    0.854565    0.039156   -0.517867
   -0.560111    0.790406    0.248061
    0.386173   -0.588240    0.710524
   -0.308982   -0.410753   -0.857795
    0.700396    0.448307   -0.555397
   -0.707079    0.512645    0.487067
    0.399627   -0.350160    0.847164
   -0.455830   -0.047927   -0.888776
    0.432871    0.755100   -0.492388
   -0.675095    0.209838    0.707258
    0.532427   -0.533274    0.657374
   -0.510296   -0.520361   -0.684706
    0.647096    0.344017   -0.680381
   -0.632215    0.594553    0.496802
    0.318791   -0.673910    0.666496
   -0.655088   -0.404856   -0.637928
    0.441557    0.546486   -0.711605
   -0.321747    0.719532    0.615429
    0.464397   -0.783049    0.413726
   -0.192580   -0.606527   -0.771387
    0.807831    0.482018   -0.339216
   -0.873811    0.475447    0.102001
    0.433660   -0.358250    0.826798
   -0.669193   -0.385133   -0.635494
    0.701962    0.678145   -0.217644
   -0.752737    0.278949    0.596300
    0.750068   -0.593762    0.291283
   -0.471081   -0.777482   -0.416658
    0.547492    0.659124   -0.515566
   -0.706950    0.535484    0.462037
    0.677023   -0.557475    0.480480
   -0.940424   -0.177024   -0.290285
    0.719938    0.157487   -0.675935
   -0.616500    0.573472    0.539498
    0.653613   -0.555632    0.513872
   -0.393394   -0.906818   -0.151399
    0.334734    0.636440   -0.694908
   -0.475569    0.800489    0.364762
    0.588256   -0.723084    0.362083
   -0.489029   -0.369812   -0.789994
    0.502095    0.733650   -0.457885
   -0.548597    0.153301    0.821912
    0.566918   -0.422752    0.707025
   -0.380085   -0.780048   -0.497052
    0.493256    0.776507   -0.392091
   -0.808599    0.446347    0.383331
    0.705116   -0.555244    0.441040
   -0.603024   -0.647802   -0.465525
    0.667987    0.638837   -0.381681
   -0.521999    0.852766   -0.017532
    0.371827   -0.657038    0.655778
   -0.897966   -0.333380   -0.287253
    0.300590    0.278701   -0.912125
   -0.255840    0.655877    0.710191
    0.733466   -0.411252    0.541202
   -0.558784   -0.511784   -0.652563
    0.654478    0.445187   -0.611120
   -0.580940    0.392381    0.713124
    0.682370   -0.542410    0.490064
   -0.192000   -0.835215   -0.515317
    0.441499    0.641657   -0.627180
   -0.392548    0.901314    0.183139
    0.160811   -0.370324    0.914877
   -0.357213   -0.582800   -0.729893
    0.317089    0.845003   -0.430609
   -0.254656    0.693198    0.674261
    0.167743   -0.890412    0.423119
   -0.780178   -0.204838   -0.591070
    0.778860    0.588539   -0.216791
   -0.698962    0.287573    0.654793
    0.648223   -0.576465    0.497488
   -0.390491   -0.330282   -0.859320
    0.466326    0.419786   -0.778666
   -0.489297    0.431492    0.757894
    0.239647   -0.580471    0.778218
   -0.559470   -0.774244   -0.295871
    0.596234    0.692842   -0.405555
   -0.797003    0.497225    0.342861
    0.694583   -0.633734    0.340494
   -0.757382   -0.516555   -0.399428
    0.556107    0.575340   -0.599774
   -0.164244    0.725619    0.668207
    0.203454   -0.834060    0.512786
   -0.516641   -0.159176   -0.841276
    0.868843    0.479557   -0.123037
   -0.635874    0.542892    0.548573
    0.512171   -0.757743    0.404360
   -0.260506   -0.627487   -0.733756
    0.378129    0.547080   -0.746807
   -0.649848    0.397285    0.647968
    0.723464   -0.373858    0.580371
   -0.434554   -0.681822   -0.588457
    0.180544    0.910756   -0.371386
   -0.335770    0.519658    0.785630
    0.311709   -0.781096    0.541042
   -0.815641   -0.258062   -0.517817
    0.669496    0.265669   -0.693682
   -0.657243    0.320459    0.682157
    0.771713   -0.481772    0.415157
   -0.511679   -0.700951   -0.496842
    0.349398    0.431647   -0.831626
   -0.347431    0.707741    0.615138
    0.388348   -0.537264    0.748687
   -0.440505   -0.707637   -0.552453
    0.701028    0.624046   -0.345147
   -0.797107    0.490622    0.352009
    0.733225   -0.516209    0.442615
   -0.530199   -0.569105   -0.628497
    0.606286    0.732040   -0.310702
   -0.643642    0.458525    0.612763
    0.640284   -0.582046    0.501257
   -0.384639   -0.243174   -0.890460
    0.558474    0.607551   -0.564791
   -0.631908   -0.059057    0.772790
    0.613259   -0.421207    0.668205
   -0.424951   -0.734258   -0.529416
    0.666163    0.457811   -0.588758
   -0.802690    0.511653    0.306431
    0.586959   -0.338667    0.735380
   -0.584002   -0.740362   -0.332874
    0.301202    0.698628   -0.648997
   -0.244415    0.717718    0.652029
    0.714564   -0.497556    0.491769
   -0.486924   -0.691950   -0.533020
    0.441923    0.804748   -0.396339
   -0.801470   -0.046536    0.596221
    0.904397   -0.109682    0.412354
   -0.343137   -0.501452   -0.794231
    0.374750    0.675767   -0.634745
   -0.441585    0.516555    0.733603
    0.560078   -0.616484    0.553408
   -0.365904   -0.681975   -0.633265
    0.191457    0.466716   -0.863435
   -0.658447    0.582147    0.477024
    0.697839   -0.163702    0.697297
   -0.617946   -0.680058   -0.394542
    0.528180    0.639897   -0.558174
   -0.843419    0.448041    0.296486
    0.607335   -0.426746    0.670098
   -0.272426   -0.323441   -0.906184
    0.785690    0.562900   -0.256584
   -0.744962    0.382998    0.546209
    0.443439   -0.722887    0.529902
   -0.745596   -0.324855   -0.581856
    0.373125    0.458037   -0.806833
   -0.079726    0.719447    0.689957
    0.163930   -0.888413    0.428776
   -0.325700   -0.254700   -0.910520
    0.810988    0.381769   -0.443341
   -0.535053    0.512191    0.671847
    0.198202   -0.714396    0.671084
   11.111111
    0.341158    0.314474    0.885842
   -0.655187   -0.610366    0.445178
    0.498494   -0.489346   -0.715573
   -0.229867    0.835414   -0.499243
    0.671699    0.505300    0.541749
   -0.384300   -0.728560    0.567021
    0.287569   -0.254163   -0.923420
   -0.778397    0.627692    0.010062
    0.614753    0.446159    0.650400
   -0.856571   -0.381245    0.347761
    0.520545   -0.770114   -0.368722
   -0.393373    0.601879   -0.694982
    0.450216    0.492318    0.744935
   -0.735271   -0.585429    0.341539
    0.650800   -0.409760   -0.639185
   -0.430615    0.701490   -0.567876
    0.520074    0.355190    0.776764
   -0.645089   -0.658842    0.387024
    0.509095   -0.649545   -0.564725
   -0.488302    0.740062   -0.462460
    0.693517    0.143754    0.705953
   -0.749622   -0.258291    0.609387
    0.591552   -0.340748   -0.730724
   -0.586064    0.418650   -0.693730
    0.466629    0.780266    0.416465
   -0.351293   -0.493056    0.795920
    0.314160   -0.826738   -0.466699
   -0.558629    0.558924   -0.612811
    0.560439    0.437923    0.702945
   -0.455488   -0.834790    0.309284
    0.660684   -0.230625   -0.714359
   -0.587201    0.619602   -0.520854
    0.725101    0.361529    0.586111
   -0.850843   -0.023938    0.524875
    0.719898   -0.623650   -0.304643
   -0.587012    0.376778   -0.716558
    0.650756    0.350329    0.673637
   -0.640424    0.035645    0.767194
    0.276212   -0.868245   -0.412138
   -0.180369    0.575084   -0.797963
    0.181171    0.548689    0.816160
   -0.108269   -0.334077    0.936307
    0.268544   -0.519173   -0.811384
   -0.425930    0.445146   -0.787673
    0.395730    0.585287    0.707699
   -0.491710   -0.650960    0.578336
    0.591383   -0.238629   -0.770274
   -0.629421    0.415584   -0.656596
    0.008341    0.798382    0.602093
   -0.074206   -0.844635    0.530174
    0.541045   -0.412669   -0.732786
   -0.584619    0.808611   -0.066096
    0.962446    0.198254    0.185455
   -0.438032   -0.398988    0.805566
   -0.057443   -0.472498   -0.879458
   -0.415926    0.908616   -0.037704
    0.891865    0.224149    0.392855
   -0.617963   -0.689114    0.378474
    0.189313   -0.232794   -0.953922
   -0.486686    0.856813    0.170316
    0.372312    0.232933    0.898402
   -0.625252   -0.512770    0.588325
    0.603351   -0.543039   -0.584017
   -0.255560    0.741530   -0.620340
    0.549194    0.768410    0.328530
   -0.420256   -0.746781    0.515464
    0.553461   -0.479969   -0.680669
   -0.732122    0.535035   -0.421587
    0.527396    0.815795    0.237342
   -0.605342   -0.336565    0.721308
    0.676250   -0.721769    0.147430
   -0.759825    0.225626   -0.609720
    0.688771    0.608648    0.393880
   -0.359257   -0.696573    0.621064
    0.300329   -0.668160   -0.680710
   -0.538666    0.663821   -0.518826
    0.334917    0.588409    0.735938
   -0.319545   -0.844797    0.429195
    0.555215   -0.497204   -0.666726
   -0.405093    0.508413   -0.759879
    0.426980    0.492180    0.758582
   -0.841628   -0.430120    0.326588
    0.918460   -0.308074   -0.248038
   -0.572235    0.264258   -0.776347
    0.570167    0.800051    0.186622
   -0.357387   -0.736533    0.574278
    0.634079   -0.422276   -0.647786
   -0.886729    0.447150    0.117339
    0.840298    0.540468    0.042348
   -0.554181   -0.467713    0.688570
    0.189582   -0.766942   -0.613073
   -0.734287    0.668173   -0.119862
    0.548431    0.714914    0.433730
   -0.472233   -0.830643    0.295005
    0.729970   -0.450226   -0.514238
   -0.703841    0.673765   -0.225052
    0.386813    0.437779    0.811619
   -0.356563   -0.783063    0.509583
    0.703547    0.052521   -0.708705
   -0.771822    0.240833   -0.588464
    0.819577    0.413553    0.396570
   -0.573407   -0.508648    0.642247
    0.363689   -0.444109   -0.818839
   -0.764360    0.626002   -0.154517
    0.774110    0.611532    0.163651
   -0.609794   -0.589443    0.529819
    0.692776   -0.714451   -0.098086
   -0.719305    0.463026   -0.517888
    0.592219    0.641734    0.487292
   -0.939056   -0.034337    0.342044
    0.644957   -0.712156    0.277244
   -0.395087   -0.060351   -0.916659
    0.275674    0.740692    0.612682
   -0.849249   -0.479190    0.221706
    0.704155   -0.709996    0.008485
   -0.223238    0.413197   -0.882855
    0.257084    0.580209    0.772829
   -0.411159   -0.215983    0.885607
    0.592971   -0.589546   -0.548471
   -0.370842    0.428412   -0.823978
    0.251744    0.855886    0.451757
   -0.402585   -0.801174    0.442770
    0.929977   -0.249018   -0.270432
   -0.555238    0.468333   -0.687296
    0.491955    0.867097    0.078253
   -0.097783   -0.674644    0.731638
    0.733306   -0.444382   -0.514576
   -0.917914    0.102877   -0.383210
    0.647500    0.707214    0.283889
   -0.638510   -0.592668    0.490968
    0.624126   -0.678284   -0.387811
   -0.573275    0.747118   -0.336407
    0.806158    0.505053    0.308271
   -0.673684   -0.408284    0.615998
    0.761267   -0.245028   -0.600361
   -0.775241    0.427613   -0.464917
    0.316406    0.894885    0.314752
   -0.291114   -0.667736    0.685114
    0.390835   -0.799469   -0.456177
   -0.697369    0.241465   -0.674812
    0.459872    0.668534    0.584448
   -0.326318   -0.935300    0.136859
    0.952344   -0.126525   -0.277546
   -0.921152    0.251287   -0.297211
    0.492541    0.279305    0.824253
   -0.565460   -0.578816    0.587560
    0.556229   -0.672447   -0.488288
   -0.521970    0.421111   -0.741764
    0.361257    0.464479    0.808550
   -0.588385   -0.534239    0.606953
    0.504709   -0.694650   -0.512572
   -0.430848    0.611201   -0.663930
    0.493391    0.651962    0.575770
   -0.497404   -0.792066    0.353866
    0.815726   -0.546635   -0.189159
   -0.665325    0.237342   -0.707821
   -0.010968    0.650793    0.759176
   -0.420962   -0.872483    0.248122
    0.628994   -0.599099   -0.495425
   -0.288042    0.733023   -0.616206
    0.432177    0.701423    0.566771
   -0.325830   -0.689973    0.646353
    0.726553   -0.435142   -0.531763
   -0.816587    0.456705   -0.352996
    0.817156    0.517890    0.253074
   -0.517298    0.030031    0.855278
    0.168453   -0.964157   -0.204999
   -0.393726    0.355564   -0.847676
    0.399706    0.588004    0.703198
   -0.721725   -0.454604    0.521966
    0.537301   -0.506411   -0.674430
   -0.432851    0.618764   -0.655569
    0.708608    0.129390    0.693638
   -0.831756   -0.376039    0.408384
    0.685681   -0.425069   -0.590896
   -0.336258    0.819313   -0.464389
    0.101663    0.173893    0.979503
   -0.596228   -0.511911    0.618432
    0.702503   -0.349367   -0.620026
   -0.538837    0.401898   -0.740360
    0.689292    0.704456    0.169169
   -0.304515   -0.564587    0.767146
    0.352967   -0.727269   -0.588637
   -0.511475    0.797685   -0.319519
    0.329681    0.644113    0.690239
   -0.668528   -0.532975    0.518660
    0.792338   -0.465466   -0.394389
   -0.363233    0.342675   -0.866392
   -0.201651    0.482786    0.852206
   -0.397226   -0.915776   -0.059720
    0.785172   -0.436472   -0.439315
   -0.339013    0.787220   -0.515127
    0.243871    0.463344    0.851962
   -0.591242   -0.587827    0.552171
    0.663113   -0.570019   -0.485138
   -0.448511    0.477248   -0.755694
    0.586223    0.629825    0.509572
   -0.372432   -0.721347    0.583911
    0.329547   -0.677801   -0.657256
   -0.683053    0.559539   -0.469420
    0.373780    0.492372    0.786040
    0.049849   -0.996705    0.063992
    0.779394    0.250053   -0.574472
   -0.782804    0.402138   -0.474871
    0.479011    0.403051    0.779806
   -0.655742   -0.507340    0.559114
    0.841207   -0.169121   -0.513585
   -0.632496    0.353382   -0.689253
    0.497170    0.639045    0.586894
   -0.435420   -0.700429    0.565516
    0.433369   -0.614754   -0.658991
   -0.434530    0.795079   -0.423122
    0.571924    0.526992    0.628635
   -0.593123   -0.396982    0.700436
    0.580914   -0.256894   -0.772363
   -0.840289    0.314502   -0.441592
    0.597708    0.494656    0.630920
   -0.341202   -0.549320    0.762777
    0.596869   -0.337620   -0.727846
   -0.709586    0.472644   -0.522586
    0.130045    0.660898    0.739123
   -0.708627   -0.531218    0.464387
    0.806663   -0.583948   -0.091100
   -0.413447    0.545228   -0.729238
    0.624907    0.668265    0.403625
   -0.616418   -0.153371    0.772338
    0.516028   -0.821136   -0.243824
   -0.641192    0.171113   -0.748060
    0.747287    0.346899    0.566765
   -0.716983   -0.163153    0.677728
    0.343554   -0.775599   -0.529544
   -0.485134    0.593325   -0.642347
    0.391214    0.330489    0.858911
   -0.700564   -0.607512    0.374353
    0.829241   -0.166703   -0.533451
   -0.494598    0.425143   -0.758041
