 #written on  7Aug2021 at 23:11:10 
 #---------------------------------------------------- MONTECARLO ----------------------------------------------------#
 #  Temp    Shell   Atom1   Type1   Atom2   Type2   <\sum_{ij} Si.Sj/N>   <\sum_{ij}|Si.Sj|/N>   <|\sum_{ij}Si.Sj|/N> #
 #--------------------------------------------------------------------------------------------------------------------#
   4.0000     1      Mn       1      Mn       1        -0.976473149           0.976473149             0.976473149
   4.0000     2      Mn       1      Mn       1         0.840417714           0.840451862             0.840417714
   4.0000     3      Mn       1      Mn       1         0.964448087           0.964448087             0.964448087
   4.0000     4      Mn       1      Mn       1        -0.842545272           0.842577804             0.842545272
   4.0000     5      Mn       1      Mn       1        -0.961646587           0.961646587             0.961646587
   4.0000     6      Mn       1      Mn       1         0.843993033           0.844023850             0.843993033
   4.0000     7      Mn       1      Mn       1        -0.844951327           0.844981503             0.844951327
   5.0476     1      Mn       1      Mn       1        -0.970277047           0.970277047             0.970277047
   5.0476     2      Mn       1      Mn       1         0.801703279           0.802500976             0.801703279
   5.0476     3      Mn       1      Mn       1         0.955129158           0.955129158             0.955129158
   5.0476     4      Mn       1      Mn       1        -0.804318697           0.805097234             0.804318697
   5.0476     5      Mn       1      Mn       1        -0.951605691           0.951605691             0.951605691
   5.0476     6      Mn       1      Mn       1         0.806090762           0.806850350             0.806090762
   5.0476     7      Mn       1      Mn       1        -0.807268033           0.808017945             0.807268033
   6.0952     1      Mn       1      Mn       1        -0.964069021           0.964069021             0.964069021
   6.0952     2      Mn       1      Mn       1         0.778066957           0.780997674             0.778066957
   6.0952     3      Mn       1      Mn       1         0.945810334           0.945810334             0.945810334
   6.0952     4      Mn       1      Mn       1        -0.781190615           0.784066715             0.781190615
   6.0952     5      Mn       1      Mn       1        -0.941570352           0.941570352             0.941570352
   6.0952     6      Mn       1      Mn       1         0.783300870           0.786127483             0.783300870
   6.0952     7      Mn       1      Mn       1        -0.784705120           0.787504910             0.784705120
   7.1429     1      Mn       1      Mn       1        -0.957817407           0.957817408             0.957817407
   7.1429     2      Mn       1      Mn       1         0.769982630           0.772174911             0.769982630
   7.1429     3      Mn       1      Mn       1         0.936426296           0.936426297             0.936426296
   7.1429     4      Mn       1      Mn       1        -0.773627323           0.775759328             0.773627323
   7.1429     5      Mn       1      Mn       1        -0.931461549           0.931461553             0.931461549
   7.1429     6      Mn       1      Mn       1         0.776084698           0.778158852             0.776084698
   7.1429     7      Mn       1      Mn       1        -0.777723462           0.779768738             0.777723462
