 #written on  7Aug2021 at 23:08:01 
 #---------------------------------------------------- MONTECARLO ----------------------------------------------------#
 #  Temp    Shell   Atom1   Type1   Atom2   Type2   <\sum_{ij} Si.Sj/N>   <\sum_{ij}|Si.Sj|/N>   <|\sum_{ij}Si.Sj|/N> #
 #--------------------------------------------------------------------------------------------------------------------#
   4.0000     1      Mn       1      Mn       1        -0.976476073           0.976476073             0.976476073
   4.0000     2      Mn       1      Mn       1         0.058461350           0.836501750             0.835591712
   4.0000     3      Mn       1      Mn       1         0.964454861           0.964454862             0.964454861
   4.0000     4      Mn       1      Mn       1        -0.060594210           0.836657436             0.835746572
   4.0000     5      Mn       1      Mn       1        -0.961653881           0.961653882             0.961653881
   4.0000     6      Mn       1      Mn       1         0.062053235           0.836755981             0.835845902
   4.0000     7      Mn       1      Mn       1        -0.063013109           0.836823945             0.835913980
   4.1965     1      Mn       1      Mn       1        -0.975316762           0.975316762             0.975316762
   4.1965     2      Mn       1      Mn       1         0.056212585           0.833313622             0.832346919
   4.1965     3      Mn       1      Mn       1         0.962713023           0.962713023             0.962713023
   4.1965     4      Mn       1      Mn       1        -0.058443846           0.833471024             0.832503437
   4.1965     5      Mn       1      Mn       1        -0.959777831           0.959777831             0.959777831
   4.1965     6      Mn       1      Mn       1         0.059968109           0.833573641             0.832605708
   4.1965     7      Mn       1      Mn       1        -0.060974552           0.833644733             0.832676312
   4.4028     1      Mn       1      Mn       1        -0.974093334           0.974093334             0.974093334
   4.4028     2      Mn       1      Mn       1         0.073853639           0.828910801             0.827833039
   4.4028     3      Mn       1      Mn       1         0.960864882           0.960864882             0.960864882
   4.4028     4      Mn       1      Mn       1        -0.076188652           0.829127277             0.828049646
   4.4028     5      Mn       1      Mn       1        -0.957783942           0.957783942             0.957783942
   4.4028     6      Mn       1      Mn       1         0.077784440           0.829269240             0.828192232
   4.4028     7      Mn       1      Mn       1        -0.078837148           0.829366843             0.828289121
   4.6191     1      Mn       1      Mn       1        -0.972812483           0.972812484             0.972812483
   4.6191     2      Mn       1      Mn       1         0.043918033           0.827089426             0.826055793
   4.6191     3      Mn       1      Mn       1         0.958937873           0.958937873             0.958937873
   4.6191     4      Mn       1      Mn       1        -0.046362573           0.827227811             0.826192999
   4.6191     5      Mn       1      Mn       1        -0.955706342           0.955706343             0.955706342
   4.6191     6      Mn       1      Mn       1         0.048029174           0.827320074             0.826283977
   4.6191     7      Mn       1      Mn       1        -0.049129940           0.827383780             0.826347404
   4.8461     1      Mn       1      Mn       1        -0.971462838           0.971462838             0.971462838
   4.8461     2      Mn       1      Mn       1         0.038903838           0.823803018             0.822742911
   4.8461     3      Mn       1      Mn       1         0.956907246           0.956907246             0.956907246
   4.8461     4      Mn       1      Mn       1        -0.041465730           0.823928485             0.822867989
   4.8461     5      Mn       1      Mn       1        -0.953517852           0.953517852             0.953517852
   4.8461     6      Mn       1      Mn       1         0.043209418           0.824005400             0.822946200
