 #written on  7Aug2021 at 23:09:39 
 #---------------------------------------------------- MONTECARLO ----------------------------------------------------#
 #  Temp    Shell   Atom1   Type1   Atom2   Type2   <\sum_{ij} Si.Sj/N>   <\sum_{ij}|Si.Sj|/N>   <|\sum_{ij}Si.Sj|/N> #
 #--------------------------------------------------------------------------------------------------------------------#
   4.0000     1      Mn       1      Mn       1        -0.976478180           0.976478180             0.976478180
   4.0000     2      Mn       1      Mn       1         0.821311562           0.821402113             0.821311562
   4.0000     3      Mn       1      Mn       1         0.964457348           0.964457349             0.964457348
   4.0000     4      Mn       1      Mn       1        -0.823406055           0.823493367             0.823406055
   4.0000     5      Mn       1      Mn       1        -0.961657760           0.961657761             0.961657760
   4.0000     6      Mn       1      Mn       1         0.824831817           0.824915526             0.824831817
   4.0000     7      Mn       1      Mn       1        -0.825774163           0.825856282             0.825774163
   5.0476     1      Mn       1      Mn       1        -0.970277158           0.970277159             0.970277158
   5.0476     2      Mn       1      Mn       1         0.807685449           0.808268521             0.807685449
   5.0476     3      Mn       1      Mn       1         0.955129932           0.955129933             0.955129932
   5.0476     4      Mn       1      Mn       1        -0.810311269           0.810879890             0.810311269
   5.0476     5      Mn       1      Mn       1        -0.951607812           0.951607813             0.951607812
   5.0476     6      Mn       1      Mn       1         0.812090116           0.812643458             0.812090116
   5.0476     7      Mn       1      Mn       1        -0.813271226           0.813817184             0.813271226
   6.0952     1      Mn       1      Mn       1        -0.964053308           0.964053308             0.964053308
   6.0952     2      Mn       1      Mn       1         0.147390208           0.801843786             0.800201237
   6.0952     3      Mn       1      Mn       1         0.945772183           0.945772183             0.945772183
   6.0952     4      Mn       1      Mn       1        -0.150570725           0.802426256             0.800788121
   6.0952     5      Mn       1      Mn       1        -0.941520893           0.941520893             0.941520893
   6.0952     6      Mn       1      Mn       1         0.152731774           0.802809568             0.801176081
   6.0952     7      Mn       1      Mn       1        -0.154163693           0.803073853             0.801441542
   7.1429     1      Mn       1      Mn       1        -0.957833708           0.957833708             0.957833708
   7.1429     2      Mn       1      Mn       1         0.736441413           0.745958594             0.737095084
   7.1429     3      Mn       1      Mn       1         0.936454668           0.936454669             0.936454668
   7.1429     4      Mn       1      Mn       1        -0.740021282           0.749399734             0.740645851
   7.1429     5      Mn       1      Mn       1        -0.931496903           0.931496907             0.931496903
   7.1429     6      Mn       1      Mn       1         0.742430947           0.751693716             0.743036872
   7.1429     7      Mn       1      Mn       1        -0.744038283           0.753235357             0.744631784
   8.1905     1      Mn       1      Mn       1        -0.951564628           0.951564628             0.951564628
   8.1905     2      Mn       1      Mn       1         0.580258605           0.763183651             0.759832916
   8.1905     3      Mn       1      Mn       1         0.927063375           0.927063384             0.927063375
   8.1905     4      Mn       1      Mn       1        -0.584426033           0.766294441             0.763005136
   8.1905     5      Mn       1      Mn       1        -0.921380946           0.921380984             0.921380946
   8.1905     6      Mn       1      Mn       1         0.587229101           0.768362786             0.765132957
   8.1905     7      Mn       1      Mn       1        -0.589102020           0.769758781             0.766558317
   9.2381     1      Mn       1      Mn       1        -0.945264997           0.945264997             0.945264997
   9.2381     2      Mn       1      Mn       1        -0.427648852           0.762794258             0.757875834
   9.2381     3      Mn       1      Mn       1         0.917635430           0.917635500             0.917635430
   9.2381     4      Mn       1      Mn       1         0.422900067           0.760197309             0.755245556
   9.2381     5      Mn       1      Mn       1        -0.911226663           0.911226891             0.911226663
   9.2381     6      Mn       1      Mn       1        -0.419688540           0.758444117             0.753449761
   9.2381     7      Mn       1      Mn       1         0.417558293           0.757284266             0.752269791
  10.2857     1      Mn       1      Mn       1        -0.938963784           0.938963788             0.938963784
  10.2857     2      Mn       1      Mn       1        -0.309767895           0.733176285             0.724334723
  10.2857     3      Mn       1      Mn       1         0.908223655           0.908224011             0.908223655
  10.2857     4      Mn       1      Mn       1         0.304578159           0.731066387             0.722195728
  10.2857     5      Mn       1      Mn       1        -0.901103577           0.901104581             0.901103577
  10.2857     6      Mn       1      Mn       1        -0.301078253           0.729642148             0.720729533
  10.2857     7      Mn       1      Mn       1         0.298749261           0.728706451             0.719770930
  11.3333     1      Mn       1      Mn       1        -0.932646280           0.932646295             0.932646280
  11.3333     2      Mn       1      Mn       1        -0.196751159           0.706802046             0.692146050
  11.3333     3      Mn       1      Mn       1         0.898807059           0.898808383             0.898807059
  11.3333     4      Mn       1      Mn       1         0.191131045           0.705315832             0.690606675
  11.3333     5      Mn       1      Mn       1        -0.890981392           0.890984824             0.890981392
  11.3333     6      Mn       1      Mn       1        -0.187361575           0.704322519             0.689549285
  11.3333     7      Mn       1      Mn       1         0.184843394           0.703672882             0.688861711
  12.3810     1      Mn       1      Mn       1        -0.926294151           0.926294220             0.926294151
  12.3810     2      Mn       1      Mn       1        -0.202608301           0.703288784             0.689093958
  12.3810     3      Mn       1      Mn       1         0.889353824           0.889357821             0.889353824
  12.3810     4      Mn       1      Mn       1         0.196457765           0.701619057             0.687405855
  12.3810     5      Mn       1      Mn       1        -0.880815239           0.880824899             0.880815239
  12.3810     6      Mn       1      Mn       1        -0.192344821           0.700496696             0.686242063
  12.3810     7      Mn       1      Mn       1         0.189592805           0.699766092             0.685486507
  13.4286     1      Mn       1      Mn       1        -0.919910786           0.919911027             0.919910786
  13.4286     2      Mn       1      Mn       1        -0.207755856           0.692322750             0.675312448
  13.4286     3      Mn       1      Mn       1         0.879862662           0.879872880             0.879862662
  13.4286     4      Mn       1      Mn       1         0.201110791           0.690458441             0.673407124
  13.4286     5      Mn       1      Mn       1        -0.870613582           0.870636712             0.870613582
  13.4286     6      Mn       1      Mn       1        -0.196680400           0.689218394             0.672100615
  13.4286     7      Mn       1      Mn       1         0.193709189           0.688408514             0.671251432
  14.4762     1      Mn       1      Mn       1        -0.913522319           0.913523018             0.913522319
  14.4762     2      Mn       1      Mn       1        -0.198907709           0.671663016             0.647574262
  14.4762     3      Mn       1      Mn       1         0.870385217           0.870408205             0.870385217
  14.4762     4      Mn       1      Mn       1         0.191835987           0.669730661             0.645573566
  14.4762     5      Mn       1      Mn       1        -0.860436817           0.860485806             0.860436817
  14.4762     6      Mn       1      Mn       1        -0.187147984           0.668459025             0.644197695
  14.4762     7      Mn       1      Mn       1         0.183992401           0.667621746             0.643302283
  15.5238     1      Mn       1      Mn       1        -0.907097503           0.907099276             0.907097503
  15.5238     2      Mn       1      Mn       1        -0.157989543           0.651489254             0.618295678
  15.5238     3      Mn       1      Mn       1         0.860858718           0.860905492             0.860858718
  15.5238     4      Mn       1      Mn       1         0.150499952           0.649844883             0.616573176
  15.5238     5      Mn       1      Mn       1        -0.850208722           0.850303319             0.850208722
  15.5238     6      Mn       1      Mn       1        -0.145559160           0.648775828             0.615391975
  15.5238     7      Mn       1      Mn       1         0.142220995           0.648076277             0.614628257
  16.5714     1      Mn       1      Mn       1        -0.900650366           0.900654385             0.900650366
  16.5714     2      Mn       1      Mn       1        -0.190105800           0.636777093             0.593902195
  16.5714     3      Mn       1      Mn       1         0.851324309           0.851411250             0.851324309
  16.5714     4      Mn       1      Mn       1         0.182165379           0.634650204             0.591624174
  16.5714     5      Mn       1      Mn       1        -0.839980910           0.840149709             0.839980910
  16.5714     6      Mn       1      Mn       1        -0.176948587           0.633291648             0.590076206
  16.5714     7      Mn       1      Mn       1         0.173416362           0.632387393             0.589066657
  17.6190     1      Mn       1      Mn       1        -0.894167510           0.894175857             0.894167510
  17.6190     2      Mn       1      Mn       1        -0.167217070           0.619299582             0.567797012
  17.6190     3      Mn       1      Mn       1         0.841737456           0.841889012             0.841737456
  17.6190     4      Mn       1      Mn       1         0.158867567           0.617319100             0.565693439
  17.6190     5      Mn       1      Mn       1        -0.829691167           0.829973871             0.829691167
  17.6190     6      Mn       1      Mn       1        -0.153409526           0.616075235             0.564268682
  17.6190     7      Mn       1      Mn       1         0.149696747           0.615247818             0.563341254
  18.6667     1      Mn       1      Mn       1        -0.887642677           0.887658521             0.887642677
  18.6667     2      Mn       1      Mn       1        -0.137813867           0.604925486             0.541881882
  18.6667     3      Mn       1      Mn       1         0.832100056           0.832348659             0.832100056
  18.6667     4      Mn       1      Mn       1         0.129035705           0.603205845             0.540031832
  18.6667     5      Mn       1      Mn       1        -0.819350871           0.819799547             0.819350871
  18.6667     6      Mn       1      Mn       1        -0.123322910           0.602134293             0.538772404
  18.6667     7      Mn       1      Mn       1         0.119422056           0.601424287             0.537958862
  19.7143     1      Mn       1      Mn       1        -0.881112111           0.881140573             0.881112111
  19.7143     2      Mn       1      Mn       1        -0.143101757           0.593667719             0.520231425
  19.7143     3      Mn       1      Mn       1         0.822477703           0.822866379             0.822477703
  19.7143     4      Mn       1      Mn       1         0.133888030           0.591779829             0.518160140
  19.7143     5      Mn       1      Mn       1        -0.809031236           0.809710984             0.809031236
  19.7143     6      Mn       1      Mn       1        -0.127932903           0.590625315             0.516764331
  19.7143     7      Mn       1      Mn       1         0.123848241           0.589853510             0.515857295
  20.7619     1      Mn       1      Mn       1        -0.874522816           0.874570966             0.874522816
  20.7619     2      Mn       1      Mn       1        -0.149973853           0.584305693             0.500509864
  20.7619     3      Mn       1      Mn       1         0.812771439           0.813354218             0.812771439
  20.7619     4      Mn       1      Mn       1         0.140306009           0.582226909             0.498175846
  20.7619     5      Mn       1      Mn       1        -0.798629539           0.799620284             0.798629539
  20.7619     6      Mn       1      Mn       1        -0.134088423           0.580976846             0.496613230
  20.7619     7      Mn       1      Mn       1         0.129813397           0.580134323             0.495596146
  21.8095     1      Mn       1      Mn       1        -0.867909284           0.867987358             0.867909284
  21.8095     2      Mn       1      Mn       1        -0.147963114           0.574341145             0.479132715
  21.8095     3      Mn       1      Mn       1         0.803039742           0.803883867             0.803039742
  21.8095     4      Mn       1      Mn       1         0.137857313           0.572209783             0.476644735
  21.8095     5      Mn       1      Mn       1        -0.788196637           0.789596725             0.788196637
  21.8095     6      Mn       1      Mn       1        -0.131395132           0.570951824             0.474995001
  21.8095     7      Mn       1      Mn       1         0.126930559           0.570089819             0.473913054
  22.8571     1      Mn       1      Mn       1        -0.861258874           0.861379847             0.861258874
  22.8571     2      Mn       1      Mn       1        -0.145432083           0.567087155             0.461471674
  22.8571     3      Mn       1      Mn       1         0.793274250           0.794456949             0.793274250
  22.8571     4      Mn       1      Mn       1         0.134858023           0.564884808             0.458925038
  22.8571     5      Mn       1      Mn       1        -0.777736302           0.779652285             0.777736302
  22.8571     6      Mn       1      Mn       1        -0.128124964           0.563597512             0.457239997
  22.8571     7      Mn       1      Mn       1         0.123460721           0.562722660             0.456145357
  23.9048     1      Mn       1      Mn       1        -0.854565668           0.854747032             0.854565668
  23.9048     2      Mn       1      Mn       1        -0.149224818           0.560566144             0.444889881
  23.9048     3      Mn       1      Mn       1         0.783452648           0.785067677             0.783452648
  23.9048     4      Mn       1      Mn       1         0.138179400           0.558212994             0.442144675
  23.9048     5      Mn       1      Mn       1        -0.767216883           0.769781125             0.767216883
  23.9048     6      Mn       1      Mn       1        -0.131175222           0.556865299             0.440338171
  23.9048     7      Mn       1      Mn       1         0.126310139           0.555936929             0.439161339
  24.9524     1      Mn       1      Mn       1        -0.847837029           0.848100221             0.847837029
  24.9524     2      Mn       1      Mn       1        -0.138102991           0.553423619             0.425466679
  24.9524     3      Mn       1      Mn       1         0.773590833           0.775743341             0.773590833
  24.9524     4      Mn       1      Mn       1         0.126602295           0.551171274             0.422779841
  24.9524     5      Mn       1      Mn       1        -0.756660966           0.760011656             0.756660966
  24.9524     6      Mn       1      Mn       1        -0.119347090           0.549907868             0.421026255
  24.9524     7      Mn       1      Mn       1         0.114287508           0.549031440             0.419886148
  26.0000     1      Mn       1      Mn       1        -0.841054232           0.841425686             0.841054232
  26.0000     2      Mn       1      Mn       1        -0.124000237           0.545513701             0.403531726
  26.0000     3      Mn       1      Mn       1         0.763660559           0.766471339             0.763660559
  26.0000     4      Mn       1      Mn       1         0.112042138           0.543424810             0.400995581
  26.0000     5      Mn       1      Mn       1        -0.746029171           0.750329623             0.746029171
  26.0000     6      Mn       1      Mn       1        -0.104549447           0.542278099             0.399345411
  26.0000     7      Mn       1      Mn       1         0.099297732           0.541481735             0.398278017
  27.0476     1      Mn       1      Mn       1        -0.834230528           0.834742687             0.834230528
  27.0476     2      Mn       1      Mn       1        -0.117496368           0.539585489             0.384892617
  27.0476     3      Mn       1      Mn       1         0.753681158           0.757285346             0.753681158
  27.0476     4      Mn       1      Mn       1         0.105077237           0.537547632             0.382303597
  27.0476     5      Mn       1      Mn       1        -0.735357111           0.740780664             0.735357111
  27.0476     6      Mn       1      Mn       1        -0.097337869           0.536450980             0.380642951
  27.0476     7      Mn       1      Mn       1         0.091896992           0.535693081             0.379568176
  28.0952     1      Mn       1      Mn       1        -0.827351266           0.828041408             0.827351266
  28.0952     2      Mn       1      Mn       1        -0.110387243           0.534653972             0.367864565
  28.0952     3      Mn       1      Mn       1         0.743611196           0.748158710             0.743611196
  28.0952     4      Mn       1      Mn       1         0.097472642           0.532679758             0.365249658
  28.0952     5      Mn       1      Mn       1        -0.724575600           0.731316831             0.724575600
  28.0952     6      Mn       1      Mn       1        -0.089460620           0.531640066             0.363580098
  28.0952     7      Mn       1      Mn       1         0.083810276           0.530918197             0.362504388
  29.1429     1      Mn       1      Mn       1        -0.820429887           0.821342993             0.820429887
  29.1429     2      Mn       1      Mn       1        -0.107133714           0.530896525             0.353122008
  29.1429     3      Mn       1      Mn       1         0.733501456           0.739153830             0.733501456
  29.1429     4      Mn       1      Mn       1         0.093714368           0.528924527             0.350460177
  29.1429     5      Mn       1      Mn       1        -0.713761982           0.722022581             0.713761982
  29.1429     6      Mn       1      Mn       1        -0.085426291           0.527912126             0.348779870
  29.1429     7      Mn       1      Mn       1         0.079562757           0.527206785             0.347702637
  30.1905     1      Mn       1      Mn       1        -0.813469465           0.814656484             0.813469465
  30.1905     2      Mn       1      Mn       1        -0.103615174           0.526545208             0.334742886
  30.1905     3      Mn       1      Mn       1         0.723344684           0.730277525             0.723344684
  30.1905     4      Mn       1      Mn       1         0.089715198           0.524589339             0.332013726
  30.1905     5      Mn       1      Mn       1        -0.702898863           0.712898333             0.702898863
  30.1905     6      Mn       1      Mn       1        -0.081177244           0.523607397             0.330320483
  30.1905     7      Mn       1      Mn       1         0.075108915           0.522918825             0.329239832
  31.2381     1      Mn       1      Mn       1        -0.806409082           0.807929956             0.806409082
  31.2381     2      Mn       1      Mn       1        -0.105288639           0.522851462             0.317821293
  31.2381     3      Mn       1      Mn       1         0.713042347           0.721455031             0.713042347
  31.2381     4      Mn       1      Mn       1         0.090875606           0.520814395             0.314774893
  31.2381     5      Mn       1      Mn       1        -0.691881825           0.703866366             0.691881825
  31.2381     6      Mn       1      Mn       1        -0.082064974           0.519811804             0.312899336
  31.2381     7      Mn       1      Mn       1         0.075782085           0.519103073             0.311693862
  32.2857     1      Mn       1      Mn       1        -0.799304789           0.801225038             0.799304789
  32.2857     2      Mn       1      Mn       1        -0.104322842           0.520064891             0.302759316
  32.2857     3      Mn       1      Mn       1         0.702674246           0.712772947             0.702674246
