#written 7Aug2021
#------------------------------------------------- -------------------------------------------------#
# Magnetization
#--------------------------------------------------------------------------------------------------------------# 
4.0000 -0.17178975E+03
5.0476 -0.17072903E+03
6.0952 -0.16966267E+03
7.1429 -0.16859426E+03
8.1905 -0.16753259E+03
9.2381 -0.16645162E+03
10.2857 -0.16537018E+03
11.3333 -0.16428893E+03
12.3810 -0.16320672E+03
13.4286 -0.16210020E+03
14.4762 -0.16101695E+03
15.5238 -0.15991667E+03
16.5714 -0.15880006E+03
17.6190 -0.15769105E+03
18.6667 -0.15658216E+03
19.7143 -0.15545098E+03
20.7619 -0.15432513E+03
21.8095 -0.15319488E+03
22.8571 -0.15204619E+03
23.9048 -0.15090990E+03
24.9524 -0.14974003E+03
26.0000 -0.14858296E+03
27.0476 -0.14740626E+03
28.0952 -0.14623328E+03
29.1429 -0.14505658E+03
30.1905 -0.14385842E+03
31.2381 -0.14263125E+03
32.2857 -0.14141143E+03
33.3333 -0.14018383E+03
34.3810 -0.13894550E+03
35.4286 -0.13771120E+03
36.4762 -0.13641268E+03
37.5238 -0.13512341E+03
38.5714 -0.13381259E+03
39.6190 -0.13247857E+03
40.6667 -0.13109491E+03
41.7143 -0.12969052E+03
42.7619 -0.12823996E+03
43.8095 -0.12673912E+03
44.8571 -0.12523462E+03
45.9048 -0.12372567E+03
46.9524 -0.12206937E+03
48.0000 -0.12044337E+03
49.0476 -0.11873748E+03
50.0952 -0.11709245E+03
51.1429 -0.11546713E+03
52.1905 -0.11381786E+03
53.2381 -0.11215227E+03
54.2857 -0.11058373E+03
55.3333 -0.10901658E+03
56.3810 -0.10748477E+03
57.4286 -0.10596987E+03
58.4762 -0.10445073E+03
59.5238 -0.10300956E+03
60.5714 -0.10157984E+03
61.6190 -0.10017204E+03
62.6667 -0.98812799E+02
63.7143 -0.97476517E+02
64.7619 -0.96172532E+02
65.8095 -0.94887962E+02
66.8571 -0.93660286E+02
67.9048 -0.92438131E+02
68.9524 -0.91286092E+02
70.0000 -0.90124663E+02
