 #written on  7Aug2021 at 22:47:11 
 #---------------------------------------------------- MONTECARLO ----------------------------------------------------#
 #  Temp    Shell   Atom1   Type1   Atom2   Type2   <\sum_{ij} Si.Sj/N>   <\sum_{ij}|Si.Sj|/N>   <|\sum_{ij}Si.Sj|/N> #
 #--------------------------------------------------------------------------------------------------------------------#
   4.0000     1      Mn       1      Mn       1        -0.976531755           0.976531755             0.976531755
   4.0000     2      Mn       1      Mn       1        -0.508344024           0.560433258             0.519145480
   4.0000     3      Mn       1      Mn       1         0.964564092           0.964564092             0.964564092
   4.0000     4      Mn       1      Mn       1         0.506630966           0.559102252             0.517710914
   4.0000     5      Mn       1      Mn       1        -0.961805715           0.961805715             0.961805715
   4.0000     6      Mn       1      Mn       1        -0.505476185           0.558228165             0.516736500
   4.0000     7      Mn       1      Mn       1         0.504712066           0.557633790             0.516090608
   5.0476     1      Mn       1      Mn       1        -0.970300277           0.970300277             0.970300277
   5.0476     2      Mn       1      Mn       1         0.732523227           0.733460391             0.732523227
   5.0476     3      Mn       1      Mn       1         0.955170553           0.955170553             0.955170553
   5.0476     4      Mn       1      Mn       1        -0.734985735           0.735890876             0.734985735
   5.0476     5      Mn       1      Mn       1        -0.951657646           0.951657646             0.951657646
   5.0476     6      Mn       1      Mn       1         0.736652392           0.737528173             0.736652392
   5.0476     7      Mn       1      Mn       1        -0.737761983           0.738621678             0.737761983
   6.0952     1      Mn       1      Mn       1        -0.964032255           0.964032255             0.964032255
   6.0952     2      Mn       1      Mn       1         0.831069491           0.831146341             0.831069491
   6.0952     3      Mn       1      Mn       1         0.945752266           0.945752266             0.945752266
   6.0952     4      Mn       1      Mn       1        -0.834315135           0.834385781             0.834315135
   6.0952     5      Mn       1      Mn       1        -0.941498819           0.941498819             0.941498819
   6.0952     6      Mn       1      Mn       1         0.836504338           0.836568971             0.836504338
   6.0952     7      Mn       1      Mn       1        -0.837962322           0.838024652             0.837962322
   7.1429     1      Mn       1      Mn       1        -0.957806820           0.957806820             0.957806820
   7.1429     2      Mn       1      Mn       1         0.749463891           0.751420700             0.749463891
   7.1429     3      Mn       1      Mn       1         0.936387160           0.936387160             0.936387160
   7.1429     4      Mn       1      Mn       1        -0.753068160           0.754961891             0.753068160
   7.1429     5      Mn       1      Mn       1        -0.931405342           0.931405345             0.931405342
   7.1429     6      Mn       1      Mn       1         0.755519800           0.757344451             0.755519800
   7.1429     7      Mn       1      Mn       1        -0.757150676           0.758942728             0.757150676
   8.1905     1      Mn       1      Mn       1        -0.951626206           0.951626212             0.951626206
   8.1905     2      Mn       1      Mn       1         0.666365057           0.684166394             0.666365057
   8.1905     3      Mn       1      Mn       1         0.927169651           0.927169664             0.927169651
   8.1905     4      Mn       1      Mn       1        -0.670286214           0.687762187             0.670286214
   8.1905     5      Mn       1      Mn       1        -0.921515577           0.921515601             0.921515577
   8.1905     6      Mn       1      Mn       1         0.672925541           0.690140327             0.672925541
   8.1905     7      Mn       1      Mn       1        -0.674688388           0.691757581             0.674688388
   9.2381     1      Mn       1      Mn       1        -0.945291152           0.945291154             0.945291152
