 Created on  1Dec2019 at 16:58:59 
     4     4     4
   128    48
    4.000000
    0.528082    0.619991    0.580294
   -0.460490   -0.467150   -0.754798
   -0.451883   -0.515957   -0.727730
    0.181565    0.000702    0.983379
    0.417967    0.635750    0.648942
   -0.438651   -0.311444   -0.842964
   -0.139813   -0.188646   -0.972042
    0.591830    0.140614    0.793703
    0.316455    0.117874    0.941256
   -0.646871   -0.195613   -0.737084
   -0.436477   -0.586887   -0.681947
    0.424634    0.432970    0.795124
    0.110904    0.302951    0.946531
   -0.300864   -0.209705   -0.930325
   -0.721628   -0.219295   -0.656630
    0.259520    0.153851    0.953404
    0.599608    0.455004    0.658363
   -0.396990   -0.491533   -0.775109
   -0.096131   -0.294046   -0.950945
    0.178875    0.368101    0.912418
    0.480631    0.501544    0.719338
   -0.164044   -0.631577   -0.757760
   -0.530230   -0.060761   -0.845674
    0.434113    0.173787    0.883937
    0.534155    0.413895    0.737136
   -0.443785    0.044807   -0.895012
   -0.340222   -0.565958   -0.750960
    0.317538    0.499679    0.805910
    0.008550    0.288670    0.957390
   -0.371528   -0.215670   -0.903024
   -0.662220   -0.408670   -0.628055
    0.385813    0.315533    0.866941
   -0.532542   -0.339886   -0.775162
    0.304457    0.487031    0.818600
    0.319595    0.331848    0.887545
   -0.483933   -0.292513   -0.824770
   -0.346888   -0.365911   -0.863584
    0.239857    0.688888    0.684034
    0.051951    0.414648    0.908498
   -0.472752   -0.106521   -0.874734
   -0.220078   -0.218167   -0.950773
    0.690642    0.289091    0.662903
    0.396300    0.211497    0.893429
   -0.326763   -0.437810   -0.837585
   -0.463504   -0.545322   -0.698419
    0.567628    0.441729    0.694748
    0.550577    0.331186    0.766278
   -0.245976   -0.347124   -0.904987
   -0.565481   -0.215228   -0.796183
    0.475736    0.496073    0.726352
    0.637722    0.197143    0.744611
   -0.527163   -0.517045   -0.674361
   -0.534953   -0.358438   -0.765080
    0.298262    0.559294    0.773453
    0.319681    0.341195    0.883963
   -0.256080   -0.320890   -0.911840
   -0.180856   -0.485894   -0.855101
    0.595716    0.422418    0.683144
    0.547901    0.498510    0.671783
   -0.378293   -0.518531   -0.766825
   -0.111193   -0.338095   -0.934520
    0.605723    0.205861    0.768584
    0.519270    0.359147    0.775482
   -0.184388   -0.379833   -0.906492
    0.491445    0.292828    0.820203
   -0.266795   -0.654813   -0.707136
   -0.318950   -0.293005   -0.901343
    0.472780    0.156573    0.867159
    0.629289    0.350775    0.693507
   -0.213938   -0.636807   -0.740748
   -0.219423   -0.328979   -0.918492
    0.399944    0.194597    0.895643
    0.440694    0.035241    0.896965
   -0.514471   -0.158106   -0.842806
   -0.656780   -0.220764   -0.721043
    0.385724    0.555383    0.736727
    0.364342    0.317747    0.875381
   -0.636956   -0.432732   -0.637990
   -0.608782   -0.136539   -0.781499
    0.211582    0.563520    0.798548
    0.641233    0.371461    0.671444
   -0.144442   -0.376391   -0.915132
   -0.387196   -0.176254   -0.904994
    0.511031    0.408068    0.756523
    0.622585    0.453436    0.637795
   -0.427557   -0.491465   -0.758721
   -0.349066   -0.298864   -0.888163
    0.266978    0.462491    0.845473
    0.545948    0.308669    0.778887
   -0.648573   -0.356671   -0.672413
   -0.534084   -0.507712   -0.676005
    0.019526    0.592506    0.805329
    0.277468    0.382363    0.881368
   -0.097017   -0.422255   -0.901270
   -0.526407   -0.079363   -0.846520
    0.442131    0.497527    0.746316
   -0.416174   -0.529386   -0.739290
    0.262990    0.252450    0.931185
    0.355889    0.381857    0.852952
   -0.425491   -0.386912   -0.818081
   -0.639413   -0.444689   -0.627218
    0.366258    0.404227    0.838126
    0.042121    0.243354    0.969023
   -0.687798   -0.058866   -0.723511
   -0.380815   -0.385244   -0.840575
    0.428323    0.456918    0.779593
    0.483962    0.429886    0.762220
   -0.484329   -0.206846   -0.850082
   -0.337125   -0.183157   -0.923472
    0.468271    0.221583    0.855350
    0.348303    0.516193    0.782452
   -0.206112   -0.146236   -0.967540
   -0.505856   -0.424255   -0.751077
    0.474200    0.416031    0.775920
    0.477735    0.047155    0.877238
   -0.498864   -0.285071   -0.818456
   -0.582100   -0.461055   -0.669767
    0.440988    0.334046    0.833033
    0.380452    0.413203    0.827357
   -0.497153   -0.451789   -0.740760
   -0.457900   -0.280493   -0.843594
    0.250788    0.270974    0.929343
    0.437479    0.570303    0.695245
   -0.343239   -0.345398   -0.873434
   -0.053700   -0.180535   -0.982102
    0.415260    0.390366    0.821689
    0.752473    0.298975    0.586855
   -0.332928   -0.160685   -0.929160
    5.617021
    0.308975   -0.017305   -0.950913
    0.396091    0.134574   -0.908296
   -0.138362    0.024483    0.990079
   -0.312028    0.059078    0.948234
    0.367929    0.273291   -0.888786
    0.293609    0.251773   -0.922173
   -0.327517    0.095175    0.940039
   -0.028499    0.284212    0.958338
    0.039192    0.180905   -0.982719
    0.394926   -0.081119   -0.915125
   -0.340382   -0.230853    0.911508
   -0.172451    0.004664    0.985007
    0.188910   -0.169216   -0.967305
    0.329126    0.222984   -0.917581
   -0.092982   -0.244858    0.965090
   -0.363074   -0.063755    0.929577
    0.275095    0.158187   -0.948314
    0.515946    0.032792   -0.855993
   -0.405352    0.130877    0.904744
   -0.301853   -0.031324    0.952840
    0.210527    0.222344   -0.951967
    0.311967    0.184767   -0.931954
    0.008599   -0.135188    0.990783
   -0.290844    0.061251    0.954808
    0.152847   -0.162537   -0.974792
    0.258277   -0.012192   -0.965994
   -0.444437   -0.148784    0.883368
   -0.287690   -0.065507    0.955481
   -0.018001   -0.074942   -0.997025
    0.227430   -0.290176   -0.929556
   -0.021860   -0.328867    0.944123
   -0.374165   -0.165030    0.912560
   -0.347998    0.056318    0.935802
   -0.129763   -0.187270    0.973700
    0.325445    0.050328   -0.944221
    0.374240    0.202986   -0.904843
   -0.276650   -0.218965    0.935692
   -0.088678   -0.286071    0.954096
   -0.003135   -0.073589   -0.997284
    0.301768   -0.174723   -0.937234
   -0.169582   -0.057058    0.983863
   -0.444699    0.065820    0.893258
    0.375582    0.198989   -0.905175
    0.112016    0.206121   -0.972094
   -0.376192    0.226466    0.898439
   -0.189998    0.064517    0.979662
    0.580770   -0.070448   -0.811014
    0.277256    0.028489   -0.960374
   -0.198609    0.071351    0.977478
   -0.413761   -0.202800    0.887510
    0.489747   -0.027145   -0.871442
    0.393426   -0.000314   -0.919356
   -0.276719   -0.058405    0.959174
   -0.125518    0.091338    0.987878
    0.245332    0.007633   -0.969409
    0.253098    0.134718   -0.958015
   -0.433918    0.075810    0.897757
   -0.252890   -0.106686    0.961595
    0.098231    0.098156   -0.990311
    0.248475    0.126443   -0.960350
   -0.354654   -0.036554    0.934283
   -0.438992   -0.210147    0.873570
   -0.060150    0.259881   -0.963765
    0.248909    0.218438   -0.943572
    0.222776    0.286653   -0.931773
    0.221162   -0.050113   -0.973949
    0.030051    0.016655    0.999410
   -0.454758   -0.347973    0.819823
    0.654953    0.210822   -0.725666
    0.214027    0.035000   -0.976200
   -0.231533   -0.004488    0.972817
   -0.407595    0.062580    0.911016
    0.043180   -0.215931   -0.975453
    0.391101    0.038582   -0.919539
   -0.637357   -0.076892    0.766723
   -0.236139   -0.171212    0.956517
    0.203389   -0.162597   -0.965502
    0.101020   -0.103220   -0.989515
   -0.511841   -0.239814    0.824929
   -0.213931   -0.172838    0.961437
    0.208862    0.171497   -0.962791
    0.199808    0.253814   -0.946391
   -0.188030    0.015364    0.982043
   -0.209734    0.006342    0.977738
    0.471464    0.095628   -0.876685
    0.293071    0.203092   -0.934271
   -0.361648    0.029104    0.931860
   -0.215089   -0.153600    0.964440
    0.166406    0.039054   -0.985284
    0.311628    0.133559   -0.940771
   -0.338117   -0.069645    0.938523
   -0.560334    0.121133    0.819361
    0.437193    0.067147   -0.896858
    0.229155    0.197227   -0.953199
   -0.037110   -0.385972    0.921764
   -0.428244   -0.137726    0.893106
   -0.180630   -0.008217    0.983517
   -0.120248    0.106319    0.987034
    0.259028   -0.049006   -0.964626
    0.325294    0.092008   -0.941126
   -0.495224   -0.302523    0.814391
   -0.318951   -0.015599    0.947643
    0.232788   -0.139223   -0.962511
    0.122106   -0.136842   -0.983038
   -0.192455    0.138625    0.971465
    0.154664    0.005602    0.987951
    0.073123    0.258760   -0.963170
    0.009332    0.477653   -0.878499
   -0.228130    0.108493    0.967567
   -0.147998    0.112610    0.982556
    0.381392    0.078218   -0.921098
    0.440960   -0.023668   -0.897214
   -0.477227   -0.197021    0.856410
   -0.273087   -0.402527    0.873725
    0.450412   -0.179950   -0.874498
    0.050929    0.212544   -0.975823
   -0.376912   -0.228225    0.897692
   -0.476791   -0.325891    0.816374
    0.127622    0.156979   -0.979321
   -0.078505    0.101645   -0.991718
   -0.187119    0.096665    0.977570
   -0.255909   -0.108731    0.960567
    0.451398    0.069642   -0.889601
   -0.121211    0.424091   -0.897471
   -0.316182   -0.027550    0.948299
   -0.158682    0.188936    0.969084
    0.068676    0.393700   -0.916670
    0.373991    0.069088   -0.924855
    7.234043
   -0.158157   -0.228223   -0.960677
    0.395680   -0.016063   -0.918248
   -0.632508    0.493755   -0.596774
   -0.092852    0.147140   -0.984748
   -0.149241    0.089974   -0.984699
   -0.019457    0.067706   -0.997516
   -0.498201    0.434034   -0.750607
   -0.159040   -0.109685   -0.981160
    0.261096   -0.096475    0.960480
    0.290474   -0.430598    0.854524
    0.025196    0.248047    0.968420
    0.298652    0.056295    0.952700
    0.345034   -0.530726    0.774133
   -0.110957    0.058874    0.992080
   -0.102302   -0.145018    0.984126
   -0.134339    0.142152    0.980686
    0.069491    0.320640   -0.944648
    0.298129   -0.230489   -0.926280
   -0.591060    0.277071   -0.757549
   -0.131957   -0.059996   -0.989438
    0.127374    0.178921   -0.975583
    0.020270    0.094752   -0.995295
   -0.516844    0.483852   -0.706229
   -0.066680    0.054440   -0.996288
    0.040181   -0.665061    0.745708
    0.240039   -0.211446    0.947456
    0.269096   -0.363717    0.891794
    0.142928    0.064025    0.987660
    0.305943   -0.447389    0.840382
    0.042606   -0.072913    0.996428
    0.203556   -0.175579    0.963191
   -0.245298   -0.028383    0.969032
    0.165409    0.331841    0.928720
   -0.230474   -0.088468    0.969048
